#REKENINGNUMMER;YEAR_FEE;GROS_FEE;NET_FEE;BTW
1012131;2021;147.88;122.22;25.66
1012132;2021;162.75;134.5;28.25
1012133;2021;182.08;150.48;31.6
1012134;2021;183.34;151.52;31.82
1012135;2021;185.73;153.49;32.24
1012201;2021;259.65;214.59;45.06
1012203;2021;404.35;334.18;70.17
1012204;2021;167.77;138.66;29.11
1012205;2021;288.42;238.36;50.06
1012206;2021;106.75;88.23;18.52
1012208;2021;191.76;158.48;33.28
1012209;2021;616.03;509.11;106.92
1012211;2021;41.42;34.23;7.19
1012212;2021;356.19;294.36;61.83
1012225;2021;1673.68;1383.21;290.47
1012227;2021;1874.14;1548.87;325.27
1012228;2021;408.21;337.36;70.85
1012229;2021;235.43;194.57;40.86
1012230;2021;55.83;46.14;9.69
1012231;2021;268.39;221.81;46.58
1012233;2021;292.44;241.69;50.75
1012235;2021;51.73;42.76;8.97
1012236;2021;1970.59;1628.59;342
1012237;2021;0.07;0.07;0
1012248;2021;493.06;407.49;85.57
1012253;2021;243;200.83;42.17
1012255;2021;187.47;154.93;32.54
1012256;2021;146.86;121.38;25.48
1012257;2021;1655.43;1368.12;287.31
1012258;2021;389.99;322.3;67.69
1012259;2021;197.55;163.25;34.3
1012260;2021;139.26;115.09;24.17
1012261;2021;1753.27;1448.98;304.29
1012263;2021;175.88;145.35;30.53
1012265;2021;398.42;329.27;69.15
1012268;2021;92.3;76.29;16.01
1012273;2021;178.12;147.2;30.92
1012280;2021;431.83;356.89;74.94
1012281;2021;0.03;0.03;0
1012282;2021;901.68;745.19;156.49
1012284;2021;559.03;462.01;97.02
1012285;2021;174.7;144.37;30.33
1012287;2021;244.21;201.82;42.39
1012302;2021;182.66;150.95;31.71
1012306;2021;745.74;616.31;129.43
1012307;2021;328.27;271.31;56.96
1012309;2021;147.88;122.21;25.67
1012327;2021;342.78;283.29;59.49
1012330;2021;69.71;57.61;12.1
1012341;2021;285.29;235.77;49.52
1012348;2021;243.32;201.1;42.22
1012377;2021;180.52;149.19;31.33
1012382;2021;338.03;279.37;58.66
1012394;2021;175.44;144.99;30.45
1012398;2021;3252.74;2688.22;564.52
1012399;2021;153.58;126.93;26.65
1012429;2021;155.02;128.11;26.91
1012431;2021;637.5;526.86;110.64
1012442;2021;830.06;686;144.06
1012443;2021;171.87;142.04;29.83
1012445;2021;164.27;135.76;28.51
1012449;2021;79.96;66.08;13.88
1012451;2021;239.88;198.25;41.63
1012454;2021;14.52;12;2.52
1012464;2021;627.56;518.64;108.92
1012465;2021;198.27;163.86;34.41
1012467;2021;89.85;74.26;15.59
1012500;2021;116.36;96.16;20.2
1012514;2021;728.75;602.27;126.48
1012515;2021;238.51;197.12;41.39
1012532;2021;45.55;37.65;7.9
1012545;2021;483.28;399.4;83.88
1012546;2021;538.77;445.26;93.51
1012559;2021;53.65;44.34;9.31
1012563;2021;0.17;0.14;0.03
1012574;2021;270.11;223.23;46.88
1012600;2021;468.28;387.01;81.27
1012602;2021;399.27;329.96;69.31
1012608;2021;555.17;458.82;96.35
1012609;2021;65.99;54.54;11.45
1012610;2021;161.32;133.33;27.99
1012665;2021;854.6;706.29;148.31
1012681;2021;951.63;786.47;165.16
1012682;2021;384.38;317.68;66.7
1012700;2021;144.12;119.11;25.01
1012702;2021;319.48;264.03;55.45
1012724;2021;171.45;141.7;29.75
1012725;2021;383.32;316.8;66.52
1012728;2021;834.09;689.33;144.76
1012729;2021;1151.94;952.02;199.92
1012737;2021;1008.22;833.23;174.99
1012738;2021;247.89;204.87;43.02
1012758;2021;487.63;403;84.63
1012778;2021;1116.43;922.66;193.77
1012784;2021;157.79;130.4;27.39
1012785;2021;0.04;0.04;0
1012811;2021;0.17;0.14;0.03
1012814;2021;548.45;453.26;95.19
1012820;2021;598.95;495;103.95
1012826;2021;254.36;210.22;44.14
1012848;2021;173.43;143.32;30.11
1012871;2021;397;328.1;68.9
1012877;2021;691.2;571.25;119.95
1012878;2021;61.87;51.13;10.74
1012879;2021;177.12;146.38;30.74
1012896;2021;376.85;311.44;65.41
1012906;2021;181.39;149.91;31.48
1012920;2021;279.08;230.65;48.43
1012922;2021;185.33;153.16;32.17
1012935;2021;1278.94;1056.98;221.96
1012936;2021;508.68;420.4;88.28
1012969;2021;1529.12;1263.74;265.38
1012970;2021;173.15;143.1;30.05
1012971;2021;180.07;148.83;31.24
1013018;2021;81.04;66.98;14.06
1013020;2021;212.77;175.84;36.93
1013021;2021;767.35;634.18;133.17
1013022;2021;257.77;213.03;44.74
1013037;2021;520.61;430.26;90.35
1013053;2021;274.11;226.54;47.57
1013065;2021;281.92;232.99;48.93
1013066;2021;264.53;218.62;45.91
1013076;2021;402.77;332.87;69.9
1013108;2021;184.43;152.42;32.01
1013128;2021;162.17;134.02;28.15
1013168;2021;268.53;221.92;46.61
1013172;2021;671.37;554.86;116.51
1013186;2021;285.78;236.18;49.6
1013195;2021;304.02;251.26;52.76
1013204;2021;161.29;133.29;28
1013227;2021;228.62;188.94;39.68
1013260;2021;322.6;266.62;55.98
1013299;2021;3263.27;2696.92;566.35
1013300;2021;62.25;51.45;10.8
1013321;2021;475.03;392.6;82.43
1013326;2021;220.25;182.02;38.23
1013327;2021;165.29;136.6;28.69
1013355;2021;177.7;146.85;30.85
1013381;2021;1158.24;957.22;201.02
1013382;2021;71.32;58.94;12.38
1013385;2021;133.91;110.66;23.25
1013443;2021;265.8;219.68;46.12
1013448;2021;158.51;131;27.51
1013466;2021;173.74;143.58;30.16
1013521;2021;223.67;184.84;38.83
1013550;2021;134.85;111.45;23.4
1013565;2021;90.55;74.83;15.72
1013566;2021;182.43;150.77;31.66
1013581;2021;124.67;103.03;21.64
1013582;2021;84.51;69.85;14.66
1013595;2021;184.38;152.38;32
1013605;2021;730.14;603.42;126.72
1013621;2021;283.88;234.61;49.27
1013662;2021;346.03;285.98;60.05
1013665;2021;658.37;544.11;114.26
1013675;2021;961.48;794.62;166.86
1013688;2021;211.72;174.97;36.75
1013689;2021;310.75;256.82;53.93
1013704;2021;118.35;97.81;20.54
1013705;2021;89.61;74.06;15.55
1013708;2021;360.36;297.82;62.54
1013739;2021;441.05;364.49;76.56
1013793;2021;424.65;350.95;73.7
1013794;2021;182.15;150.54;31.61
1013795;2021;61.02;50.43;10.59
1013797;2021;165.69;136.92;28.77
1013820;2021;413.03;341.35;71.68
1013821;2021;359.74;297.31;62.43
1013836;2021;165.37;136.67;28.7
1013842;2021;164.27;135.76;28.51
1013864;2021;225.77;186.6;39.17
1013866;2021;124.02;102.5;21.52
1013910;2021;315.21;260.51;54.7
1013913;2021;465.32;384.55;80.77
1013943;2021;289.24;239.05;50.19
1013944;2021;14.52;12;2.52
1013945;2021;861.62;712.08;149.54
1013946;2021;328.83;271.75;57.08
1013947;2021;186.52;154.16;32.36
1013961;2021;602.37;497.84;104.53
1013970;2021;312.99;258.67;54.32
1013971;2021;992.17;819.97;172.2
1013972;2021;171.29;141.57;29.72
1013973;2021;442.97;366.09;76.88
1013986;2021;1.95;1.61;0.34
1013991;2021;174.75;144.41;30.34
1013992;2021;906.23;748.95;157.28
1014003;2021;180.82;149.43;31.39
1014019;2021;229.6;189.75;39.85
1014021;2021;162.1;133.96;28.14
1014030;2021;167.19;138.17;29.02
1014044;2021;505.75;417.98;87.77
1014064;2021;296.12;244.73;51.39
1014065;2021;76.2;62.98;13.22
1014066;2021;195.86;161.86;34
1014067;2021;163.25;134.92;28.33
1014068;2021;65.95;54.51;11.44
1014080;2021;192.16;158.81;33.35
1014084;2021;512.58;423.63;88.95
1014085;2021;141.07;116.59;24.48
1014086;2021;61.5;50.83;10.67
1014087;2021;192.11;158.76;33.35
1014089;2021;100.82;83.33;17.49
1014090;2021;186.08;153.78;32.3
1014091;2021;273.2;225.79;47.41
1014093;2021;138.64;114.58;24.06
1014115;2021;129.1;106.69;22.41
1014117;2021;347.11;286.87;60.24
1014118;2021;63.99;52.88;11.11
1014119;2021;65;53.73;11.27
1014120;2021;268.94;222.27;46.67
1014122;2021;275.02;227.28;47.74
1014124;2021;805.37;665.6;139.77
1014125;2021;90.66;74.92;15.74
1014128;2021;202.35;167.23;35.12
1014153;2021;169.5;140.09;29.41
1014154;2021;152.25;125.82;26.43
1014155;2021;418.41;345.79;72.62
1014156;2021;214.93;177.63;37.3
1014157;2021;64.37;53.21;11.16
1014159;2021;1229.52;1016.13;213.39
1014160;2021;181.08;149.66;31.42
1014161;2021;67.34;55.65;11.69
1014162;2021;157.77;130.39;27.38
1014164;2021;435.37;359.81;75.56
1014173;2021;252.23;208.45;43.78
1014174;2021;64.11;52.98;11.13
1014185;2021;312.64;258.37;54.27
1014186;2021;1543.11;1275.29;267.82
1014187;2021;471.28;389.48;81.8
1014189;2021;69.88;57.75;12.13
1014190;2021;139.16;115.01;24.15
1014191;2021;523.18;432.38;90.8
1014192;2021;155.07;128.16;26.91
1014194;2021;565.79;467.6;98.19
1014195;2021;586.01;484.31;101.7
1014196;2021;134.77;111.39;23.38
1014197;2021;351.72;290.68;61.04
1014199;2021;582.71;481.57;101.14
1014200;2021;67.58;55.85;11.73
1014203;2021;63.61;52.57;11.04
1014204;2021;211.9;175.12;36.78
1014205;2021;169.74;140.28;29.46
1014207;2021;67.66;55.92;11.74
1014208;2021;98.23;81.18;17.05
1014209;2021;155.55;128.55;27
1014213;2021;191.81;158.53;33.28
1014214;2021;172.91;142.91;30
1014221;2021;192.7;159.25;33.45
1014223;2021;59.1;48.84;10.26
1014227;2021;70.03;57.88;12.15
1014228;2021;510.45;421.86;88.59
1014229;2021;64.2;53.07;11.13
1014230;2021;104.32;86.21;18.11
1014231;2021;679.95;561.95;118
1014232;2021;73.61;60.84;12.77
1014237;2021;78.05;64.51;13.54
1014239;2021;196.58;162.46;34.12
1014241;2021;96.01;79.35;16.66
1014243;2021;230.8;190.74;40.06
1014244;2021;65.64;54.24;11.4
1014248;2021;994.35;821.78;172.57
1014270;2021;60.93;50.36;10.57
1014271;2021;74.75;61.77;12.98
1014272;2021;265.73;219.61;46.12
1014274;2021;385.19;318.33;66.86
1014275;2021;70.61;58.36;12.25
1014276;2021;143.78;118.82;24.96
1014278;2021;186.33;153.98;32.35
1014279;2021;536.58;443.45;93.13
1014280;2021;291.5;240.91;50.59
1014281;2021;226.29;187.02;39.27
1014283;2021;565.89;467.67;98.22
1014284;2021;1102.42;911.09;191.33
1014285;2021;13.28;10.98;2.3
1014286;2021;767.44;634.25;133.19
1014288;2021;289.8;239.5;50.3
1014289;2021;80.61;66.62;13.99
1014298;2021;161.49;133.47;28.02
1014299;2021;63.36;52.36;11
1014301;2021;155.72;128.69;27.03
1014302;2021;2009.07;1660.38;348.69
1014304;2021;62.95;52.03;10.92
1014305;2021;84.31;69.67;14.64
1014310;2021;308.47;254.93;53.54
1014314;2021;81.2;67.11;14.09
1014319;2021;92.47;76.41;16.06
1014320;2021;56.43;46.63;9.8
1014321;2021;862.79;713.04;149.75
1014326;2021;61.93;51.19;10.74
1014328;2021;64.29;53.14;11.15
1014330;2021;94.98;78.5;16.48
1014331;2021;1696.11;1401.75;294.36
1014332;2021;71.67;59.23;12.44
1014333;2021;174.88;144.53;30.35
1014334;2021;166.13;137.3;28.83
1014335;2021;237.16;196.01;41.15
1014337;2021;66.96;55.34;11.62
1014338;2021;134.45;111.12;23.33
1014339;2021;66.35;54.84;11.51
1014342;2021;100.91;83.4;17.51
1014344;2021;374.55;309.56;64.99
1014347;2021;3.82;3.16;0.66
1014366;2021;96.33;79.62;16.71
1014369;2021;345.13;285.24;59.89
1014374;2021;87.64;72.43;15.21
1014376;2021;143.21;118.35;24.86
1014378;2021;376.46;311.12;65.34
1014379;2021;64.36;53.19;11.17
1014380;2021;643.69;531.98;111.71
1014384;2021;64.06;52.94;11.12
1014385;2021;59.03;48.78;10.25
1014386;2021;3.82;3.16;0.66
1014387;2021;192.97;159.48;33.49
1014388;2021;152.13;125.73;26.4
1014389;2021;314.11;259.6;54.51
1014390;2021;139.63;115.4;24.23
1014392;2021;161.5;133.48;28.02
1014401;2021;174.02;143.82;30.2
1014404;2021;546.87;451.95;94.92
1014405;2021;102.25;84.51;17.74
1014429;2021;85.69;70.83;14.86
1014432;2021;68.81;56.86;11.95
1014437;2021;130.26;107.65;22.61
1014440;2021;72.37;59.82;12.55
1014441;2021;268.65;222.02;46.63
1014446;2021;66.22;54.73;11.49
1014451;2021;255.36;211.04;44.32
1014454;2021;71.93;59.45;12.48
1014456;2021;64.12;52.99;11.13
1014458;2021;990.7;818.76;171.94
1014460;2021;74.42;61.51;12.91
1014469;2021;625.6;517.02;108.58
1014478;2021;288.33;238.28;50.05
1014479;2021;368.7;304.71;63.99
1014484;2021;37.24;30.78;6.46
1014487;2021;173.14;143.09;30.05
1014490;2021;406.49;335.95;70.54
1014497;2021;170.77;141.14;29.63
1014503;2021;60.08;49.66;10.42
1014516;2021;220.37;182.11;38.26
1014517;2021;120.56;99.63;20.93
1014519;2021;166.15;137.31;28.84
1014526;2021;341.12;281.92;59.2
1014540;2021;150.03;123.99;26.04
1014541;2021;133.69;110.49;23.2
1014546;2021;243.49;201.24;42.25
1014555;2021;126.73;104.74;21.99
1014560;2021;337.52;278.94;58.58
1014576;2021;87.3;72.16;15.14
1014592;2021;411.85;340.37;71.48
1014597;2021;488.17;403.44;84.73
1014614;2021;102.08;84.37;17.71
1014615;2021;61.68;50.97;10.71
1014663;2021;675.8;558.52;117.28
1014671;2021;274.84;227.14;47.7
1014674;2021;410.68;339.4;71.28
1014697;2021;320.84;265.15;55.69
1014698;2021;61.9;51.16;10.74
1014700;2021;173.83;143.66;30.17
1014717;2021;67.52;55.8;11.72
1014720;2021;202.77;167.58;35.19
1014724;2021;136.67;112.94;23.73
1014726;2021;171.66;141.86;29.8
1014747;2021;319.85;264.34;55.51
1014763;2021;117.16;96.83;20.33
1014770;2021;199.08;164.52;34.56
1014803;2021;114.65;94.74;19.91
1014810;2021;249.52;206.21;43.31
1014813;2021;1969.82;1627.94;341.88
1014821;2021;479.75;396.49;83.26
1014846;2021;537.89;444.53;93.36
1014849;2021;110.77;91.54;19.23
1014853;2021;517.26;427.48;89.78
1014860;2021;487.75;403.09;84.66
1014867;2021;311.56;257.49;54.07
1014871;2021;341.89;282.56;59.33
1014882;2021;220.38;182.13;38.25
1014919;2021;270.45;223.52;46.93
1014921;2021;275.01;227.28;47.73
1014922;2021;1377.62;1138.53;239.09
1014924;2021;366.49;302.89;63.6
1014944;2021;672.74;555.98;116.76
1014950;2021;298.91;247.03;51.88
1014954;2021;576.62;476.53;100.09
1014957;2021;7422.48;6134.28;1288.2
1014968;2021;228.27;188.66;39.61
1014970;2021;216.75;179.13;37.62
1014971;2021;143.13;118.29;24.84
1014973;2021;335.89;277.6;58.29
1014974;2021;198.89;164.37;34.52
1014975;2021;162.74;134.5;28.24
1014983;2021;223.85;185;38.85
1014991;2021;669.67;553.44;116.23
1014998;2021;166.34;137.47;28.87
1015000;2021;76.72;63.41;13.31
1015006;2021;123.34;101.93;21.41
1015007;2021;115.73;95.64;20.09
1015011;2021;265.26;219.23;46.03
1015022;2021;647.84;535.41;112.43
1015029;2021;66.99;55.36;11.63
1015033;2021;90.54;74.82;15.72
1015034;2021;28.15;23.27;4.88
1015036;2021;514.8;425.45;89.35
1015038;2021;248.1;205.05;43.05
1015042;2021;329.23;272.09;57.14
1015043;2021;59.69;49.33;10.36
1015057;2021;267.46;221.04;46.42
1015073;2021;159.06;131.45;27.61
1015074;2021;313.24;258.88;54.36
1015075;2021;193.83;160.19;33.64
1015078;2021;1062.63;878.2;184.43
1015088;2021;226.03;186.8;39.23
1015090;2021;159.91;132.16;27.75
1015092;2021;77.64;64.17;13.47
1015101;2021;729.92;603.24;126.68
1015111;2021;134.3;110.99;23.31
1015124;2021;246.47;203.69;42.78
1015128;2021;114.71;94.8;19.91
1015130;2021;679.94;561.93;118.01
1015131;2021;251.24;207.64;43.6
1015132;2021;344.47;284.69;59.78
1015146;2021;160.11;132.33;27.78
1015149;2021;492.25;406.82;85.43
1015150;2021;692.81;572.56;120.25
1015151;2021;321.21;265.45;55.76
1015178;2021;217.43;179.7;37.73
1015179;2021;242.58;200.48;42.1
1015180;2021;12.65;10.45;2.2
1015190;2021;122.31;101.09;21.22
1015199;2021;221.61;183.15;38.46
1015201;2021;448.33;370.53;77.8
1015207;2021;136.43;112.76;23.67
1015219;2021;65.43;54.07;11.36
1015221;2021;316.65;261.7;54.95
1015227;2021;344.97;285.09;59.88
1015240;2021;155.29;128.34;26.95
1015245;2021;66.44;54.91;11.53
1015252;2021;2170.73;1793.99;376.74
1015269;2021;181.33;149.86;31.47
1015280;2021;251.68;207.99;43.69
1015293;2021;121.78;100.64;21.14
1015305;2021;97.73;80.76;16.97
