// http://lt.morningstar.com/api/rest.svc/timeseries_price/hvqzxf7smz?id=F000010CAO&idtype=MSID&startDate=2000-01-01&Currencyid=EUR&outputtype=csv
"date";"price";
"2008-06-20";"994.95";
"2008-06-23";"999.72";
"2008-06-24";"989.98";
"2008-06-25";"997.71";
"2008-06-26";"970.58";
"2008-06-27";"965.49";
"2008-06-30";"968.22";
"2008-07-01";"960.61";
"2008-07-02";"943.42";
"2008-07-03";"948.17";
"2008-07-04";"945.49";
"2008-07-07";"946.78";
"2008-07-08";"944.84";
"2008-07-09";"940.99";
"2008-07-10";"936.14";
"2008-07-11";"921.40";
"2008-07-14";"920.02";
"2008-07-15";"902.55";
"2008-07-16";"918.95";
"2008-07-17";"930.68";
"2008-07-18";"933.14";
"2008-07-21";"938.48";
"2008-07-22";"944.38";
"2008-07-23";"959.10";
"2008-07-24";"947.16";
"2008-07-25";"943.12";
"2008-07-28";"930.07";
"2008-07-29";"941.89";
"2008-07-30";"960.06";
"2008-07-31";"952.73";
"2008-08-01";"945.07";
"2008-08-04";"931.79";
"2008-08-05";"951.60";
"2008-08-06";"962.81";
"2008-08-07";"954.61";
"2008-08-08";"977.66";
"2008-08-11";"987.37";
"2008-08-12";"984.21";
"2008-08-13";"976.36";
"2008-08-14";"979.26";
"2008-08-15";"988.86";
"2008-08-18";"981.93";
"2008-08-19";"966.34";
"2008-08-20";"972.29";
"2008-08-21";"965.13";
"2008-08-22";"975.94";
"2008-08-25";"969.11";
"2008-08-26";"974.76";
"2008-08-27";"978.24";
"2008-08-28";"988.66";
"2008-08-29";"987.09";
"2008-09-01";"987.58";
"2008-09-02";"986.98";
"2008-09-03";"982.65";
"2008-09-04";"961.45";
"2008-09-05";"958.25";
"2008-09-08";"985.02";
"2008-09-09";"964.35";
"2008-09-10";"967.74";
"2008-09-11";"973.83";
"2008-09-12";"972.06";
"2008-09-15";"936.53";
"2008-09-16";"929.68";
"2008-09-17";"898.92";
"2008-09-18";"904.22";
"2008-09-19";"956.36";
"2008-09-22";"929.12";
"2008-09-23";"910.91";
"2008-09-24";"911.20";
"2008-09-25";"923.44";
"2008-09-26";"918.51";
"2008-09-29";"866.62";
"2008-09-30";"903.81";
"2008-10-01";"908.33";
"2008-10-02";"888.56";
"2008-10-03";"884.58";
"2008-10-06";"849.11";
"2008-10-07";"816.04";
"2008-10-08";"783.60";
"2008-10-09";"753.41";
"2008-10-10";"723.51";
"2008-10-13";"786.08";
"2008-10-14";"806.54";
"2008-10-15";"753.06";
"2008-10-16";"747.01";
"2008-10-17";"753.72";
"2008-10-20";"792.31";
"2008-10-21";"785.72";
"2008-10-22";"750.45";
"2008-10-23";"749.83";
"2008-10-24";"723.78";
"2008-10-27";"709.26";
"2008-10-28";"756.07";
"2008-10-29";"761.43";
"2008-10-30";"789.22";
"2008-10-31";"805.15";
"2008-11-03";"804.93";
"2008-11-04";"828.74";
"2008-11-05";"804.84";
"2008-11-06";"773.11";
"2008-11-07";"784.91";
"2008-11-10";"786.75";
"2008-11-11";"773.58";
"2008-11-12";"745.14";
"2008-11-13";"758.82";
"2008-11-14";"742.58";
"2008-11-17";"728.00";
"2008-11-18";"727.28";
"2008-11-19";"696.02";
"2008-11-20";"661.77";
"2008-11-21";"680.22";
"2008-11-24";"706.72";
"2008-11-25";"709.94";
"2008-11-26";"727.02";
"2008-11-27";"735.78";
"2008-11-28";"752.71";
"2008-12-01";"708.72";
"2008-12-02";"712.84";
"2008-12-03";"724.68";
"2008-12-04";"710.59";
"2008-12-05";"715.87";
"2008-12-08";"742.21";
"2008-12-09";"739.04";
"2008-12-10";"745.53";
"2008-12-11";"728.23";
"2008-12-12";"713.34";
"2008-12-15";"703.42";
"2008-12-16";"717.94";
"2008-12-17";"699.02";
"2008-12-18";"686.47";
"2008-12-19";"703.19";
"2008-12-22";"692.20";
"2008-12-23";"686.84";
"2008-12-24";"684.25";
"2008-12-25";"684.98";
"2008-12-26";"684.38";
"2008-12-29";"682.08";
"2008-12-30";"697.65";
"2008-12-31";"712.69";
"2009-01-01";"712.85";
"2009-01-02";"730.74";
"2009-01-05";"748.49";
"2009-01-06";"766.62";
"2009-01-07";"743.39";
"2009-01-08";"736.73";
"2009-01-09";"735.99";
"2009-01-12";"727.71";
"2009-01-13";"727.24";
"2009-01-14";"706.90";
