=======================================
2026-06-28_15-12-00
=======================================
reading nasdaq-stock-nasdaq.json
retrieved 4110 symbols
DASH: empty company, description, region,
FIGR: empty region,
DLO: empty region,
PLBL: empty region,
ESTA: empty region,
NEO: empty company, description, region,
IGIC: empty region,
SATL: empty region,
AFRI: empty region,
PAAC: empty description,
SATLW: empty region,
NCI: empty company, description, region,
FMFC: empty region,
AACB: empty description,
AACBR: empty description,
AACBU: empty description,
AACI: empty description,
AACIU: empty description,
AACIW: empty description,
AACO: empty description,
AACOU: empty description,
AACOW: empty description,
AACP: empty description,
AACPU: empty description,
AACPW: empty description,
ACAA: empty description,
ACAAU: empty description,
ACAAW: empty description,
ACGC: empty description,
ACGCU: empty description,
ADAC: empty description,
ADACU: empty description,
ADACW: empty description,
AEAQ: empty description,
AEAQU: empty description,
AEAQW: empty description,
AESPU: empty description,
AFJK: empty description,
AFJKR: empty description,
AFJKU: empty description,
ALDF: empty description,
ALDFW: empty description,
ALF: empty description,
ALFUU: empty description,
ALFUW: empty description,
ALIS: empty description,
ALISR: empty description,
ALOV: empty description,
ALOVU: empty description,
ALPXU: empty description,
AMAN: empty description,
ANSC: empty description,
ANSCW: empty description,
APAC: empty description,
APACU: empty description,
APMCU: empty description,
APUR: empty description,
APURR: empty description,
APXTU: empty description,
APXTW: empty description,
ARCI: empty description,
ARCIW: empty description,
ARCL: empty description,
ARCLR: empty description,
ARCLU: empty description,
ARCLW: empty description,
ARTC: empty description,
ARTCU: empty description,
ARTCW: empty description,
ASPC: empty description,
ASPCR: empty description,
ASPCU: empty description,
ATII: empty description,
ATIIU: empty description,
ATIIW: empty description,
AXIN: empty description,
AXINR: empty description,
AXINU: empty description,
BACC: empty description,
BACCR: empty description,
BAYA: empty description,
BAYAR: empty description,
BBCQ: empty description,
BBCQU: empty description,
BBCQW: empty description,
BCAR: empty description,
BCARU: empty description,
BCARW: empty description,
BDCI: empty description,
BDCIW: empty description,
BEAG: empty description,
BEAGR: empty description,
BEAGU: empty description,
BHAV: empty description,
BHAVU: empty description,
BIDWU: empty description,
BIXI: empty description,
BIXIU: empty description,
BIXIW: empty description,
BKHA: empty description,
BKHAR: empty description,
BLRK: empty description,
BLRKU: empty description,
BLRKW: empty description,
BLZR: empty description,
BLZRU: empty description,
BLZRW: empty description,
BOT: empty description,
BPAC: empty description,
BPACU: empty description,
BREZ: empty description,
BREZR: empty description,
BSAA: empty description,
BSAAR: empty description,
CAES: empty description,
CAII: empty description,
CAIIU: empty description,
CAIIW: empty description,
CAPN: empty description,
CAPNR: empty description,
CAPNU: empty description,
CAQ: empty description,
CAQUU: empty description,
CCAQ: empty description,
CCAQW: empty description,
CCII: empty description,
CCIIU: empty description,
CCIIW: empty description,
CCIX: empty description,
CCIXU: empty description,
CCIXW: empty description,
CCXI: empty description,
CCXIU: empty description,
CCXIW: empty description,
CEPF: empty description,
CEPO: empty description,
CEPS: empty description,
CEPT: empty description,
CEPV: empty description,
CGCFU: empty description,
CHAR: empty description,
CHARR: empty description,
CHEC: empty description,
CHPG: empty description,
CHPGR: empty description,
CHPGU: empty description,
CMII: empty description,
CMIIU: empty description,
CMIIW: empty description,
COLA: empty description,
COLAR: empty description,
CRAC: empty description,
CRACR: empty description,
CRACU: empty description,
CRACW: empty description,
CRAN: empty description,
CRANR: empty description,
CRAQ: empty description,
CRAQR: empty description,
CTAA: empty description,
CTAAR: empty description,
CXII: empty description,
CXIIU: empty description,
CXIIW: empty description,
DAAQ: empty description,
DAAQW: empty description,
DBCA: empty description,
DBCAU: empty description,
DBCAW: empty description,
DMAA: empty description,
DMAAR: empty description,
DMAAU: empty description,
DMII: empty description,
DMIIR: empty description,
DMIIU: empty description,
DNMX: empty description,
DNMXW: empty description,
DRDB: empty description,
DRDBW: empty description,
DSAC: empty description,
DSACU: empty description,
DSACW: empty description,
DTSQ: empty description,
DTSQU: empty description,
DYNC: empty description,
DYNCU: empty description,
DYNCW: empty description,
DYOR: empty description,
ELOX: empty description,
EURK: empty description,
EURKR: empty description,
EVOX: empty description,
EVOXU: empty description,
EVOXW: empty description,
FACT: empty description,
FACTW: empty description,
FERA: empty description,
FERAR: empty description,
FGII: empty description,
FGIIW: empty description,
FIGX: empty description,
FIGXW: empty description,
FMAC: empty description,
FMACU: empty description,
FSHP: empty description,
FSHPR: empty description,
FSHPU: empty description,
FTHA: empty description,
FTHAU: empty description,
FTHAW: empty description,
FVAV: empty description,
FVN: empty description,
FWACU: empty description,
FXACU: empty description,
GCGR: empty description,
GCGRU: empty description,
GCGRW: empty description,
GECCH: empty description,
GECCI: empty description,
GHXIU: empty description,
GIW: empty description,
GIWWR: empty description,
GIWWU: empty description,
GIX: empty description,
GIXXR: empty description,
GPAC: empty description,
GPAT: empty description,
GPATW: empty description,
GSHR: empty description,
GSHRW: empty description,
GSRF: empty description,
GSRFR: empty description,
GSRVU: empty description,
GTEN: empty description,
GTENU: empty description,
GTENW: empty description,
GTERA: empty description,
GTERR: empty description,
GTERU: empty description,
GTERW: empty description,
GUACU: empty description,
HACQ: empty description,
HACQU: empty description,
HACQW: empty description,
HAVA: empty description,
HCACR: empty description,
HCIC: empty description,
HCICU: empty description,
HCMAU: empty description,
HLXC: empty description,
HVII: empty description,
HVIIR: empty description,
HVMC: empty description,
HVMCU: empty description,
IACO: empty description,
IACOU: empty description,
IACOW: empty description,
IACQ: empty description,
IACQU: empty description,
IACQW: empty description,
IBAC: empty description,
IBACR: empty description,
IDACU: empty description,
IEAG: empty description,
IGACR: empty description,
ILLU: empty description,
ILLUU: empty description,
ILLUW: empty description,
INAC: empty description,
INACR: empty description,
IPCX: empty description,
IPCXR: empty description,
IPCXU: empty description,
IPEX: empty description,
IPEXU: empty description,
IPFX: empty description,
IPFXU: empty description,
IPFXW: empty description,
IPVVU: empty description,
IRHO: empty description,
IRHOR: empty description,
IRHOU: empty description,
ISNRU: empty description,
ITHA: empty description,
JABRU: empty description,
JATT: empty description,
KBON: empty description,
KBONU: empty description,
KBONW: empty description,
KCHV: empty description,
KCHVR: empty description,
KCHVU: empty description,
KEYY: empty description,
KEYYU: empty description,
KEYYW: empty description,
KFII: empty description,
KFIIR: empty description,
KFIIU: empty description,
KOYN: empty description,
KOYNW: empty description,
KRAQ: empty description,
KRAQU: empty description,
KRAQW: empty description,
KVAC: empty description,
KVACU: empty description,
KVACW: empty description,
LAFA: empty description,
LAFAR: empty description,
LAFAU: empty description,
LATA: empty description,
LATAU: empty description,
LCCC: empty description,
LCCCR: empty description,
LIMNW: empty description,
LKSP: empty description,
LKSPR: empty description,
LKSPU: empty description,
LPAA: empty description,
LPAAW: empty description,
LPBB: empty description,
LPBBW: empty description,
LPCV: empty description,
LPCVU: empty description,
LPCVW: empty description,
LTGRU: empty description,
LWAC: empty description,
LWACW: empty description,
MACI: empty description,
MACIU: empty description,
MBAV: empty description,
MBAVW: empty description,
MBVI: empty description,
MBVIW: empty description,
MCAH: empty description,
MCAHR: empty description,
MCAHU: empty description,
MCGA: empty description,
MCGAU: empty description,
MCGAW: empty description,
MESH: empty description,
MESHU: empty description,
MESHW: empty description,
METCI: empty description,
METCZ: empty description,
MEVO: empty description,
MEVOW: empty description,
MKLY: empty description,
MKLYR: empty description,
MLAA: empty description,
MLAAW: empty description,
MMTX: empty description,
MUZE: empty description,
MUZEW: empty description,
MYX: empty description,
MYXXR: empty description,
MYXXW: empty description,
NBRG: empty description,
NBRGR: empty description,
NBRGU: empty description,
NEWTO: empty description,
NHIC: empty description,
NHICW: empty description,
NHIV: empty description,
NHIVU: empty description,
NHIVW: empty description,
NMP: empty description,
NOEM: empty description,
NOEMR: empty description,
NOEMU: empty description,
NOEMW: empty description,
NPAC: empty description,
NPACU: empty description,
NPACW: empty description,
NTWO: empty description,
NTWOW: empty description,
OACC: empty description,
OACCU: empty description,
OACCW: empty description,
OBA: empty description,
OBAWW: empty description,
OFSSO: empty description,
OHAC: empty description,
OHACR: empty description,
OHACU: empty description,
OIM: empty description,
OIMAU: empty description,
OIMAW: empty description,
ONCH: empty description,
ONCHU: empty description,
ONCHW: empty description,
ORIQ: empty description,
OTGA: empty description,
OTGAU: empty description,
OTGAW: empty description,
OYSE: empty description,
OYSER: empty description,
PACH: empty description,
PACHU: empty description,
PACHW: empty description,
PALO: empty description,
PALOW: empty description,
PCAP: empty description,
PCSC: empty description,
PECE: empty description,
PECER: empty description,
PECEU: empty description,
PECEW: empty description,
PGAC: empty description,
PGACR: empty description,
PLMK: empty description,
PLMKU: empty description,
PLMKW: empty description,
PMTR: empty description,
PMTRW: empty description,
POLE: empty description,
POLEU: empty description,
POLEW: empty description,
PONO: empty description,
PTACU: empty description,
PTOR: empty description,
PTORU: empty description,
PTORW: empty description,
QADR: empty description,
QADRU: empty description,
QETA: empty description,
QETAR: empty description,
QETAU: empty description,
QH: empty description,
QSEA: empty description,
QSEAR: empty description,
QSEAU: empty description,
QUMS: empty description,
QUMSR: empty description,
RAAQ: empty description,
RAAQW: empty description,
RACC: empty description,
RANG: empty description,
RANGR: empty description,
RDAC: empty description,
RDAG: empty description,
RDAGU: empty description,
RDAGW: empty description,
RFAI: empty description,
RFAM: empty description,
RFAMU: empty description,
RIBB: empty description,
RIBBR: empty description,
RNGT: empty description,
RNGTW: empty description,
RREV: empty description,
RREVU: empty description,
RREVW: empty description,
RTAC: empty description,
RTACU: empty description,
RTACW: empty description,
SAAQ: empty description,
SAAQU: empty description,
SAAQW: empty description,
SCII: empty description,
SCIIR: empty description,
SCPQ: empty description,
SDHI: empty description,
SDHIR: empty description,
SHOTU: empty description,
SIMAW: empty description,
SOCA: empty description,
SOCAU: empty description,
SORN: empty description,
SORNW: empty description,
SPEG: empty description,
SPEGR: empty description,
SPKL: empty description,
SPKLW: empty description,
SSAC: empty description,
SSACR: empty description,
SSACU: empty description,
SSACW: empty description,
SSEA: empty description,
SSEAR: empty description,
SSEAU: empty description,
SUMA: empty description,
SUMAR: empty description,
SVAC: empty description,
SVACU: empty description,
SVACW: empty description,
SVAQ: empty description,
SVAQW: empty description,
SVCC: empty description,
SVCCU: empty description,
SVCCW: empty description,
SVIV: empty description,
SVIVW: empty description,
SZZLR: empty description,
TACH: empty description,
TACHW: empty description,
TAVI: empty description,
TDAC: empty description,
TDACW: empty description,
TDWD: empty description,
TDWDR: empty description,
TDWDU: empty description,
TLNC: empty description,
TLNCW: empty description,
TMTS: empty description,
TMTSU: empty description,
TMUSI: empty description,
TMUSL: empty description,
TMUSZ: empty description,
TRGS: empty description,
TVA: empty description,
TVACW: empty description,
TVAI: empty description,
TVAIR: empty description,
TVAIU: empty description,
TVIVU: empty description,
TWLV: empty description,
TWLVU: empty description,
USDE: empty description,
UYSC: empty description,
VHCP: empty description,
VHCPW: empty description,
VNME: empty description,
VNMEU: empty description,
VSECU: empty description,
WENN: empty description,
WENNW: empty description,
WLCOU: empty description,
WLII: empty description,
WLIIU: empty description,
WLIIW: empty description,
WSBK: empty description,
WTG: empty description,
WTGUR: empty description,
XCBE: empty description,
XCBEU: empty description,
XELLL: empty description,
XRPN: empty description,
XRPNU: empty description,
XRPNW: empty description,
XSLL: empty description,
XSLLW: empty description,
YHNA: empty description,
YHNAU: empty description,
YICCU: empty description,
ZKP: empty description,
ZKPU: empty description,
ZKPW: empty description,
finished: 2026-06-28_20-28-04
