DATUM;OPEN;HIGH;LOW;KOERS
1991-12-31;;;;100.00000
1992-01-01;;;;100.00000
1992-01-02;;;;100.69000
1992-01-03;;;;100.65000
1992-01-06;;;;101.86000
1992-01-07;;;;101.15000
1992-01-08;;;;99.34000
1992-01-09;;;;100.83000
1992-01-10;;;;101.56000
1992-01-13;;;;100.58000
1992-01-14;;;;102.35000
1992-01-15;;;;103.89000
1992-01-16;;;;103.54000
1992-01-17;;;;102.45000
1992-01-20;;;;102.06000
1992-01-21;;;;101.26000
1992-01-22;;;;102.46000
1992-01-23;;;;102.57000
1992-01-24;;;;101.74000
1992-01-27;;;;102.76000
1992-01-28;;;;102.07000
1992-01-29;;;;101.73000
1992-01-30;;;;103.08000
1992-01-31;;;;102.63000
1992-02-03;;;;103.10000
1992-02-04;;;;102.08000
1992-02-05;;;;102.79000
1992-02-06;;;;102.23000
1992-02-07;;;;102.10000
1992-02-10;;;;100.60000
1992-02-11;;;;101.49000
1992-02-12;;;;102.39000
1992-02-13;;;;102.58000
1992-02-14;;;;101.90000
1992-02-17;;;;101.71000
1992-02-18;;;;102.39000
1992-02-19;;;;101.56000
1992-02-20;;;;102.30000
1992-02-21;;;;102.64000
1992-02-24;;;;102.53000
1992-02-25;;;;101.90000
1992-02-26;;;;103.50000
1992-02-27;;;;103.12000
1992-02-28;;;;102.49000
1992-03-02;;;;103.00000
1992-03-03;;;;102.82000
1992-03-04;;;;103.18000
1992-03-05;;;;102.22000
1992-03-06;;;;101.96000
1992-03-09;;;;101.48000
1992-03-10;;;;101.61000
1992-03-11;;;;100.35000
1992-03-12;;;;100.30000
1992-03-13;;;;99.89000
1992-03-16;;;;99.77000
1992-03-17;;;;99.18000
1992-03-18;;;;98.75000
1992-03-19;;;;100.09000
1992-03-20;;;;100.81000
1992-03-23;;;;100.21000
1992-03-24;;;;99.67000
1992-03-25;;;;99.15000
1992-03-26;;;;99.72000
1992-03-27;;;;97.99000
1992-03-30;;;;98.42000
1992-03-31;;;;97.98000
1992-04-01;;;;96.86000
1992-04-02;;;;95.32000
1992-04-03;;;;94.79000
1992-04-06;;;;95.37000
1992-04-07;;;;93.82000
1992-04-08;;;;91.96000
1992-04-09;;;;91.96000
1992-04-10;;;;95.80000
1992-04-13;;;;96.29000
1992-04-14;;;;97.14000
1992-04-15;;;;99.33000
1992-04-16;;;;97.92000
1992-04-17;;;;97.52000
1992-04-20;;;;98.14000
1992-04-21;;;;97.81000
1992-04-22;;;;97.53000
1992-04-23;;;;98.26000
1992-04-24;;;;97.69000
1992-04-27;;;;98.04000
1992-04-28;;;;98.22000
1992-04-29;;;;98.67000
1992-04-30;;;;99.06000
1992-05-01;;;;98.21000
1992-05-04;;;;98.80000
1992-05-05;;;;98.78000
1992-05-06;;;;98.77000
1992-05-07;;;;99.90000
1992-05-08;;;;100.35000
1992-05-11;;;;100.77000
1992-05-12;;;;100.00000
1992-05-13;;;;99.74000
1992-05-14;;;;99.11000
1992-05-15;;;;98.88000
1992-05-18;;;;98.41000
1992-05-19;;;;99.04000
1992-05-20;;;;99.47000
1992-05-21;;;;99.60000
1992-05-22;;;;100.08000
1992-05-25;;;;100.52000
1992-05-26;;;;99.04000
1992-05-27;;;;99.81000
1992-05-28;;;;99.92000
1992-05-29;;;;99.92000
1992-06-01;;;;100.13000
1992-06-02;;;;99.55000
1992-06-03;;;;99.65000
1992-06-04;;;;99.15000
1992-06-05;;;;98.54000
1992-06-08;;;;98.09000
1992-06-09;;;;97.51000
1992-06-10;;;;97.63000
1992-06-11;;;;97.02000
1992-06-12;;;;96.66000
1992-06-15;;;;95.77000
1992-06-16;;;;95.48000
1992-06-17;;;;94.73000
1992-06-18;;;;93.38000
1992-06-19;;;;93.98000
1992-06-22;;;;93.23000
1992-06-23;;;;93.39000
1992-06-24;;;;92.61000
1992-06-25;;;;92.21000
1992-06-26;;;;92.13000
1992-06-29;;;;91.34000
1992-06-30;;;;92.08000
1992-07-01;;;;92.24000
1992-07-02;;;;93.16000
1992-07-03;;;;92.93000
1992-07-06;;;;92.74000
1992-07-07;;;;91.12000
1992-07-08;;;;91.26000
1992-07-09;;;;93.09000
1992-07-10;;;;92.71000
1992-07-13;;;;91.58000
1992-07-14;;;;91.91000
1992-07-15;;;;91.71000
1992-07-16;;;;91.91000
1992-07-17;;;;90.04000
1992-07-20;;;;89.31000
1992-07-21;;;;89.65000
1992-07-22;;;;88.77000
1992-07-23;;;;89.03000
1992-07-24;;;;88.18000
1992-07-27;;;;87.85000
1992-07-28;;;;87.96000
1992-07-29;;;;88.30000
1992-07-30;;;;89.70000
1992-07-31;;;;89.99000
1992-08-03;;;;89.54000
1992-08-04;;;;89.29000
1992-08-05;;;;89.31000
1992-08-06;;;;89.34000
1992-08-07;;;;87.83000
1992-08-10;;;;87.29000
1992-08-11;;;;86.74000
1992-08-12;;;;86.01000
1992-08-13;;;;85.90000
1992-08-14;;;;87.18000
1992-08-17;;;;87.20000
1992-08-18;;;;86.26000
1992-08-19;;;;86.21000
1992-08-20;;;;86.88000
1992-08-21;;;;88.46000
1992-08-24;;;;86.56000
1992-08-25;;;;86.18000
1992-08-26;;;;86.34000
1992-08-27;;;;87.91000
1992-08-28;;;;88.94000
1992-08-31;;;;89.06000
1992-09-01;;;;88.13000
1992-09-02;;;;87.86000
1992-09-03;;;;90.08000
1992-09-04;;;;90.14000
1992-09-07;;;;89.69000
1992-09-08;;;;88.46000
1992-09-09;;;;89.85000
1992-09-10;;;;90.24000
1992-09-11;;;;90.96000
1992-09-14;;;;94.81000
1992-09-15;;;;94.15000
1992-09-16;;;;97.39000
1992-09-17;;;;94.62000
1992-09-18;;;;98.14000
1992-09-21;;;;96.18000
1992-09-22;;;;98.41000
1992-09-23;;;;97.38000
1992-09-24;;;;98.10000
